date,reservoir_id,level_m,median_m,hist_high_m,hist_high_year,hist_low_m,hist_low_year
1990-09-25,quinze,263.18,262.93,263.41,1992,261.2,1962
1990-09-25,rapide_7,309.6,309.03,309.6,1990,308.2,2005
1990-09-25,timiskaming,178.95,178.9,179.27,1992,178.53,1989
1990-09-26,bark_lake,313.23,313.68,313.83,2014,309.41,1953
1990-09-26,baskatong,221.19,220.39,222.59,1988,216.88,1982
1990-09-26,cabonga,358.98,359.81,360.97,1951,357.68,1929
1990-09-26,des_joachims,152.21,152.18,152.4,1965,151.06,1955
1990-09-26,dozois,344.93,343.28,346.14,1965,341.1,2005
1990-09-26,kiamika,268.74,267.54,269.96,1957,266.3,1956
1990-09-26,kipawa,269.54,269.39,269.93,1965,269.07,2010
1990-09-26,lady_evelyn,288.96,289.06,289.53,1951,287.64,1971
1990-09-26,mitchinamecus,380.37,378.57,382.92,1957,376.09,1975
1990-09-26,poisson_blanc,199.16,199.46,201.42,1992,194.93,1978
1990-09-26,quinze,263.2,262.93,263.41,1988,261.21,1962
1990-09-26,rapide_7,309.57,309.03,309.57,1990,308.19,2005
1990-09-26,timiskaming,178.97,178.88,179.31,2010,178.58,1987
1990-09-27,bark_lake,313.23,313.68,313.83,2013,309.41,1953
1990-09-27,baskatong,221.2,220.37,222.65,1988,216.88,1982
1990-09-27,cabonga,358.98,359.81,360.98,1951,357.68,1929
1990-09-27,des_joachims,152.28,152.19,152.4,1964,151.21,1955
1990-09-27,dozois,344.96,343.26,346.16,1965,341.11,2005
1990-09-27,kiamika,268.73,267.54,269.97,1957,266.33,1956
1990-09-27,kipawa,269.55,269.39,269.92,1965,269.07,2010
1990-09-27,lady_evelyn,288.95,289.07,289.56,1951,287.61,1971
1990-09-27,mitchinamecus,380.37,378.56,382.95,1957,375.96,1975
1990-09-27,poisson_blanc,199.11,199.44,201.49,1965,194.87,1978
1990-09-27,quinze,263.21,262.92,263.43,1988,261.19,1962
1990-09-27,rapide_7,309.51,309.05,309.51,1990,308.19,2005
1990-09-27,timiskaming,178.97,178.88,179.36,2010,178.57,1987
1990-09-28,bark_lake,313.23,313.68,313.84,2013,309.4,1953
